"ndc","rxcui","va"
"00781202005",308182,"AM111"
"00781207401",198316,"CV704"
"00781207410",198316,"CV704"
"00781210301",198377,"IM600"
"00781214501",308212,"AM111"
"00781223410",200329,"GA900"
"00781232106",644088,"GA605"
"00781232246",403810,"GA605"
"00781232901",861237,"CN801"
"00781233501",861221,"CN801"
"00781234301",861223,"CN801"
"00781235201",861225,"CN801"
"00781236101",1806195,"CN802"
"00781236201",1806177,"CN802"
"00781236301",1806179,"CN802"
"00781236801",861227,"CN801"
"00781237101",861232,"CN801"
"00781261301",308191,"GA303"
"00781261301",308191,"AM111"
"00781261305",308191,"GA303"
"00781261305",308191,"AM111"
"00781285931",199119,"GA900"
"00781286810",198051,"GA303"
"00781286810",198051,"GA900"
"00781300107",864110,"HS701"
"00781324602",854235,"BL110"
"00781324664",854235,"BL110"
"00781326869",854248,"BL110"
"00781407515",1013629,"HS200"
"00781502207",762675,"HS051"
"00781506120",308194,"AM111"
"00781518892",966249,"HS851"
"00781518992",892251,"HS851"
"00781531501",854894,"CN309"
"00781531601",854880,"CN309"
"00781531701",854876,"CN309"
"00781531710",854876,"CN309"
"00781531810",854873,"CN309"
"00781569031",349556,"CV350"
"00781601485",308805,"OP109"
"00781602346",309322,"AM200"
"00781604146",239191,"AM111"
"00781604155",239191,"AM111"
"00781604158",239191,"AM111"
"00781610246",617423,"AM111"
"00781613948",617993,"AM111"
"00781613954",617993,"AM111"
"00781613957",617993,"AM111"
"00781615746",308189,"AM111"
"00781615752",308189,"AM111"
"00781615757",308189,"AM111"
"00781618667",403908,"OT250"
"00781627043",283536,"CN400"
"00781707787",142046,"GU300"
"00781708035",577237,"DE101"
"00781710454",238004,"HS300"
"00781711735",313921,"DE820"
"00781711954",242333,"HS300"
"00781712983",248478,"HS300"
"00781713354",238003,"HS300"
"00781713593",403818,"OP210"
"00781713883",241946,"HS300"
"00781714483",242891,"HS300"
"00781715683",1149632,"HS300"
"00781716119",1540241,"DE752"
"00781716783",242892,"HS300"
"00781717250",1041518,"DE752"
"00781717612",1725059,"CN102"
"00781729685",2123111,"RE102"
"00781751687",351109,"RE101"
"00781751787",252559,"RE101"
"00781802931",724863,"CN809"
"00781804531",861960,"CN809"
"00781805331",724861,"CN809"
"00781808926",749783,"AM200"
"00781808931",308460,"AM200"
"00781809003",749780,"AM200"
"00781897201",1099300,"CN601"
"00832-0038-00",863664,"GU201"
"00832-0465-30",584414,"DE102"
"00832003800",863664,"GU201"
"00832003810",863664,"GU201"
"00832027311",892582,"CN101"
"00832030100",991194,"CN701"
"00832031011",1099681,"CN400"
"00832040211",313990,"CN609"
"00832040230",313990,"CN609"
"00832040311",248642,"CN609"
"00832040330",248642,"CN609"
"00832046530",584414,"DE102"
"00832046560",584414,"DE102"
"00832054111",197418,"CV702"
"00832059010",1190572,"GA208"
"00832059011",1190572,"GA208"
"00832105410",197391,"MS200"
"00832105415",197391,"MS200"
"00832105515",197392,"MS200"
"00832107530",1494769,"CN400"
"00832112035",1597129,"HS100"
"00832112142",1596780,"HS100"
"00832121600",855336,"BL110"
"00832125030",577348,"CN300"
"00832141003",403818,"OP210"
"00832167211",903884,"CN609"
"00832532310",628953,"TN430"
"00832532311",628953,"TN430"
"00832532411",1801298,"TN430"
"00832532510",1801294,"TN430"
"00832532511",1801294,"TN430"
"00832532515",1801294,"TN430"
"00832601800",991194,"CN701"
"00832603212",310386,"CN609"
"00832605210",991086,"AU350"
"00832605211",991086,"AU350"
"00832605311",991061,"AU350"
"00832712311",1099678,"CN400"
"00832712315",1099678,"CN400"
"00832712411",1099870,"CN400"
"00832712415",1099870,"CN400"
"00832830430",197845,"DE751"
"00904544861",312301,"CV900"
"00904585540",197807,"MS102"
"00904619546",199224,"AN900"
"00904629161",617310,"CV350"
"00904640180",863669,"CV150"
"00904641861",313413,"MS200"
"00904642761",351250,"CN609"
"00904675180",308416,"CN103"
"00904675180",308416,"GA110"
"00904678370",308416,"CN103"
"00904678370",308416,"GA110"
"00904679480",318272,"CN103"
"00904708361",309309,"AM400"
"00904709361",1049221,"CN101"
"00904715504",351265,"CN101"
"00904724395",309309,"AM400"
"00955101010",854248,"BL110"
"00955104290",200096,"CV805"
"00955105027",749206,"GU900"
"00955170310",854880,"CN309"
"08214053080",1745806,NA
"08214054080",1013738,NA
"08214056529",NA,NA
"08214058529",2565238,NA
"08214059080",1745805,NA
"08214385034",670414,NA
"08222095435",1013738,NA
"08222095855",1745806,NA
"08222710031",1013738,NA
"08222710055",1745806,NA
"08222710130",670414,NA
"08290-3051-55",489466,NA
"08290309581",490542,NA
"08290320109",1745806,NA
"08290320119",670414,NA
"08290320122",1013738,NA
"08290320550",1013738,NA
"08290320749",2264497,NA
"08290324909",1918397,NA
"08290324910",2002871,NA
"08290324911",1659503,NA
"08290324912",1538329,NA
"08290328203",1989097,NA
"08290328411",2264745,NA
"08290328418",2046612,NA
"08290328438",2264732,NA
"08290328440",2046602,NA
"08290329651",2264742,NA
"08317238131",1745806,NA
"08317260315",2046606,NA
"08396900218",1745806,NA
"08470353001",1745806,NA
"08470355001",670414,NA
"08470383001",1745806,NA
"08470414001",1013738,NA
"08489831010",670414,NA
"08489831310",2264497,NA
"08489831510",1013738,NA
"08489846810",670414,NA
"08489847110",1013738,NA
"08496301001",2198471,NA
"08496310601",1745806,NA
"08496320101",1742739,NA
"08496331001",2398383,NA
"08508200005",2058300,NA
"08508300001",NA,NA
"08508300021",2604821,NA
"08618003001",NA,NA
"08627-0016-01",2387258,NA
"08627-0053-03",2046246,NA
"08627-0077-01",2628368,NA
"08627001601",2387258,NA
"08627005303",2046246,NA
"08627007701",2628368,NA
"08627007801",2635866,NA
"08627009111",2387256,NA
"10135062101",1094104,"GU100"
"10147068501",1091155,"CN802"
"10147068601",1091185,"CN802"
"10147068701",1091210,"CN802"
"10147068801",1091170,"CN802"
"10370010150",993541,"CN609"
"10370010203",993557,"CN609"
"10370010250",993557,"CN609"
"10370036601",1436239,"CN400"
"10370036611",1436239,"CN400"
"10370083109",830837,"CV200"
"10572001201",1001689,"GA202"
"10572010001",966920,NA
"10572030201",801054,NA
"10631040701",1540356,"DE200"
"10702-0003-50",992447,"AH100"
"10702-0006-01",828320,"MS200"
"10702-0018-01",1049621,"CN101"
"10702-0102-01",1091392,"CN802"
"10702000201",992438,"AH100"
"10702000301",992447,"AH100"
"10702000310",992447,"AH100"
"10702000350",992447,"AH100"
"10702000601",828320,"MS200"
"10702000709",828348,"MS200"
"10702000750",828348,"MS200"
"10702000801",1049611,"CN101"
"10702000901",1049618,"CN101"
"10702001101",995258,"AH105"
"10702001150",995258,"AH105"
"10702001801",1049621,"CN101"
"10702001850",1049621,"CN101"
"10702002301",1049696,"CN101"
"10702005601",1049683,"CN101"
"10702005650",1049683,"CN101"
"10702006601",884385,"CN801"
"10702007501",1091145,"CN802"
"10702007601",1091225,"CN802"
"10702010001",1091497,"CN802"
"10702010101",1091150,"CN802"
"10702010201",1091392,"CN802"
"10702010701",899518,"CN802"
"10702010801",899548,"CN802"
"10702015016",992668,"RE301"
"10702018701",1049214,"CN101"
"10702018950",857002,"CN101"
"10702019001",857005,"CN101"
"10702019201",856987,"CN101"
"10702020101",863664,"GU201"
"10702025301",238154,"CN103"
"10702025350",238154,"CN103"
"11527070442",637365,"OR100"
"11527073044",392038,"OR100"
"11527073516",562510,"OR100"
"11527074534",637365,"OR100"
"11527075534",392038,"OR100"
"11534016501",310410,"VT102"
"11534016503",310410,"VT102"
"11534018701",889520,"CN103"
"11534018901",884385,"CN801"
"11534019201",541892,"CN801"
"11534019501",577961,"CN801"
"11534019601",541363,"CN801"
"11877001140",NA,NA
"11917004813",2046612,NA
"11917004815",2264732,NA
"11917010873",1233063,NA
"11917015018",NA,NA
"11917015021",NA,NA
"11980021105",545243,"OP300"
"12496120803",1010606,"CN101"
"12608003022",2584144,NA
"13107-0001-30",476809,"CN609"
"13107-0084-05",197901,"CN302"
"13107000105",476809,"CN609"
"13107000130",476809,"CN609"
"13107000305",314111,"CN609"
"13107000334",314111,"CN609"
"13107002001",857005,"CN101"
"13107003105",311725,"CN609"
"13107003134",311725,"CN609"
"13107003234",311726,"CN609"
"13107004601",1049214,"CN101"
"13107005501",1049621,"CN101"
"13107005801",993770,"CN101"
"13107006801",541878,"CN801"
"13107007001",541892,"CN801"
"13107007301",577961,"CN801"
"13107007401",541363,"CN801"
"13107007901",856377,"CN609"
"13107008001",856373,"CN609"
"13107008301",197900,"CN302"
"13107008305",197900,"CN302"
"13107008401",197901,"CN302"
"13107008405",197901,"CN302"
"13107008499",197901,"CN302"
"13107008501",197902,"CN302"
"13107015405",1738483,"CN609"
"13107015430",1738483,"CN609"
"13107015490",1738483,"CN609"
"13107015590",1738495,"CN609"
"13107015599",1738495,"CN609"
"13107015630",1738503,"CN609"
"13107015690",1738503,"CN609"
"13107015799",1738511,"CN609"
"13517011110",199167,"CN301"
"13517062601",199167,"CN301"
"13517069201",312362,"CN301"
"13517069205",312362,"CN301"
"13668-0011-05",309314,"CN609"
"13668-0181-90",859751,"CV350"
"13668-0330-05",856377,"CN609"
"13668-0332-01",856364,"CN609"
"13668-0482-01",197985,"AM250"
"13668-0484-50",197984,"AM250"
"13668-0607-30",197650,"AM200"
"13668000701",854876,"CN309"
"13668000705",854876,"CN309"
"13668000801",854873,"CN309"
"13668000805",854873,"CN309"
"13668000810",854873,"CN309"
"13668000901",283672,"CN609"
"13668000905",283672,"CN609"
"13668001001",200371,"CN609"
"13668001005",200371,"CN609"
"13668001101",309314,"CN609"
"13668001105",309314,"CN609"
"13668001990",313585,"CN609"
"13668004501",282401,"CN400"
"13668004701",198427,"CN400"
"13668004801",198428,"CN400"
"13668004860",198428,"CN400"
"13668004960",198429,"CN400"
"13668007930",311759,"RE109"
"13668008030",242438,"RE109"
"13668008105",200224,"RE109"
"13668008130",200224,"RE109"
"13668008190",200224,"RE109"
"13668009190",859033,"CN500"
"13668009205",859040,"CN500"
"13668009290",859040,"CN500"
"13668009390",859044,"CN500"
"13668009490",859052,"CN500"
"13668009690",251872,"GA900"
"13668010401",317110,"CV250"
"13668010410",317110,"CV250"
"13668010501",353538,"CV250"
"13668010960",596926,"CN609"
"13668011030",596930,"CN609"
"13668011130",596934,"CN609"
"13668011590",979480,"CV805"
"13668013401",402695,"CV200"
"13668013501",351249,"CN609"
"13668013510",351249,"CN609"
"13668013601",349332,"CN609"
"13668013605",349332,"CN609"
"13668013610",349332,"CN609"
"13668013701",351250,"CN609"
"13668013705",351250,"CN609"
"13668013710",351250,"CN609"
"13668017905",859424,"CV350"
"13668017990",859424,"CV350"
"13668018005",859747,"CV350"
"13668018090",859747,"CV350"
"13668018105",859751,"CV350"
"13668018190",859751,"CV350"
"13668018205",859419,"CV350"
"13668018230",859419,"CV350"
"13668018490",858625,"CN500"
"13668019090",855189,"GU201"
"13668021605",602964,"CN709"
"13668021630",602964,"CN709"
"13668021690",602964,"CN709"
"13668021730",402131,"CN709"
"13668021830",349545,"CN709"
"13668021890",349545,"CN709"
"13668021930",349490,"CN709"
"13668022030",349553,"CN709"
"13668025230",403854,"CV400"
"13668025290",403854,"CV400"
"13668026801",308979,"CN400"
"13668033005",856377,"CN609"
"13668033101",856373,"CN609"
"13668033105",856373,"CN609"
"13668033201",856364,"CN609"
"13668033205",856364,"CN609"
"13668033930",900164,"CN400"
"13668034030",850091,"CN400"
"13668034130",850087,"CN400"
"13668035430",387013,"CV100"
"13668035590",751612,"CV100"
"13668035630",827073,"CV100"
"13668042905",314200,"GA900"
"13668042990",314200,"GA900"
"13668043801",310289,"CV350"
"13668043901",310288,"CV350"
"13668044101",205322,"MS102"
"13668044201",205323,"MS102"
"13668044205",205323,"MS102"
"13668046330",311204,"AM700"
"13668046430",1235247,"CN709"
"13668048201",197985,"AM250"
"13668048301",314108,"AM250"
"13668048405",197984,"AM250"
"13668048450",197984,"AM250"
"13668053194",351246,"RE109"
"13668056630",403957,"CV490"
"13668056630",403957,"GU900"
"13668059181",644088,"GA605"
"13668059501",543546,"DE102"
"13668059502",543546,"DE102"
"13668060505",1741905,"DE752"
"13811009332",2619683,"HS300"
"13811070610",1091155,"CN802"
"13811070710",1091170,"CN802"
"13811070810",1091185,"CN802"
"13811070910",1091210,"CN802"
"13811071230",808751,"CN609"
"13811071430",808744,"CN609"
"13811071910",1648755,"AM600"
"13925016604",312614,"HS051"
"14539067401",995253,"AH105"
"14539067405",995253,"AH105"
"14539067505",995278,"AH105"
"14613-0339-72",NA,NA
"14613033972",NA,NA
"16252051401",197511,"AM400"
"16252051501",309309,"AM400"
"16571-0862-50",993541,"CN609"
"16571-0863-50",993557,"CN609"
"16571-0868-50",310431,"CN400"
"16571020106",855926,"MS102"
"16571020110",855926,"MS102"
"16571020111",855926,"MS102"
"16571020150",855926,"MS102"
"16571020210",855906,"MS102"
"16571020211",855906,"MS102"
"16571020310",855664,"MS102"
"16571041110",197511,"AM400"
"16571041210",309309,"AM400"
"16571041250",309309,"AM400"
"16571065710",309140,"AU900"
"16571066001",995624,"CN550"
"16571066101",995666,"CN550"
"16571066401",311681,"AM900"
"16571066450",311681,"AM900"
"16571067621",1291082,"RS202"
"16571068701",979092,"AP101"
"16571068750",979092,"AP101"
"16571071601",835603,"CN101"
"16571071610",835603,"CN101"
"16571071650",835603,"CN101"
"16571073528",996824,"CN105"
"16571074309",197738,"AU350"
"16571075710",351250,"CN609"
"16571076924",351285,"CN609"
"16571077450",199246,"HS502"
"16571077550",199247,"HS502"
"16571078150",197446,"MS200"
"16571078201",828320,"MS200"
"16571078250",828320,"MS200"
"16571078301",828348,"MS200"
"16571078310",828348,"MS200"
"16571078350",828348,"MS200"
"16571086203",993541,"CN609"
"16571086209",993541,"CN609"
"16571086250",993541,"CN609"
"16571086303",993557,"CN609"
"16571086309",993557,"CN609"
"16571086350",993557,"CN609"
"16571086850",310431,"CN400"
"16571086950",310432,"CN400"
"16571087601",197816,"CV701"
"16714-0112-01",313990,"CN609"
"16714-0113-01",248642,"CN609"
"16714-0174-01",617310,"CV350"
"16714-0184-01",1738511,"CN609"
"16714-0200-30",104894,"GA605"
"16714-0259-02",856845,"CN601"
"16714-0363-04",1311535,"HS200"
"16714-0439-01",1648755,"AM600"
"16714-0576-01",197319,"MS400"
"16714-0612-05",312941,"CN609"
"16714-0613-05",312938,"CN609"
"16714-0980-01",606730,"GA900"
"16714000610",854228,"BL110"
"16714001401",562508,"AM111"
"16714001402",562508,"AM111"
"16714001610",854235,"BL110"
"16714001930",351109,"RE101"
"16714003501",311289,"CN400"
"16714003610",854241,"BL110"
"16714003902",197541,"MS400"
"16714004002",1657151,"CN105"
"16714004107",197319,"MS400"
"16714004112",197319,"MS400"
"16714004211",197320,"MS400"
"16714004301",313583,"CN609"
"16714004401",313585,"CN609"
"16714004402",313585,"CN609"
"16714004501",313581,"CN609"
"16714004801",991194,"CN701"
"16714007104",197391,"MS200"
"16714007106",197391,"MS200"
"16714007204",197392,"MS200"
"16714007402",757707,"CV490"
"16714007402",757707,"GU900"
"16714007501",403957,"CV490"
"16714007501",403957,"GU900"
"16714008110",995218,"AH105"
"16714008210",995258,"AH105"
"16714008211",995258,"AH105"
"16714008212",995258,"AH105"
"16714008310",995281,"AH105"
"16714008311",995281,"AH105"
"16714008401",313096,"CV704"
"16714008403",313096,"CV704"
"16714008501",198223,"CV704"
"16714008502",198223,"CV704"
"16714008603",198222,"CV704"
"16714008604",198222,"CV704"
"16714010102",310459,"CV350"
"16714010105",310459,"CV350"
"16714011001",979092,"AP101"
"16714011002",979092,"AP101"
"16714011302",248642,"CN609"
"16714011401",1190110,"CN609"
"16714012101",1000913,"AU300"
"16714012302",200329,"GA900"
"16714012303",200329,"GA900"
"16714012801",197499,"CV701"
"16714013201",1000048,"CN601"
"16714014101",602964,"CN709"
"16714014201",402131,"CN709"
"16714014301",349545,"CN709"
"16714014401",349490,"CN709"
"16714014501",349553,"CN709"
"16714014601",349547,"CN709"
"16714015701",260243,"HS800"
"16714015801",312641,"HS800"
"16714015901",198052,"GA605"
"16714016001",312086,"GA605"
"16714016102",309332,"DE752"
"16714016525",309594,"VT101"
"16714016601",903456,"HS851"
"16714016701",903697,"HS851"
"16714017001",889520,"CN103"
"16714017201",313413,"MS200"
"16714017202",313413,"MS200"
"16714017303",617312,"CV350"
"16714017401",617310,"CV350"
"16714017402",617310,"CV350"
"16714017403",617310,"CV350"
"16714017501",617311,"CV350"
"16714017502",617311,"CV350"
"16714017503",617311,"CV350"
"16714017602",259255,"CV350"
"16714017801",105583,"DE600"
"16714018101",1738483,"CN609"
"16714018204",1738495,"CN609"
"16714018301",1738503,"CN609"
"16714018401",1738511,"CN609"
"16714019001",862006,"AU100"
"16714019101",862013,"AU100"
"16714019301",862025,"AU100"
"16714019401",282401,"CN400"
"16714019501",198427,"CN400"
"16714019601",198428,"CN400"
"16714019701",198429,"CN400"
"16714020030",104894,"GA605"
"16714020110",312087,"GA605"
"16714020130",312087,"GA605"
"16714023501",834102,"AM110"
"16714024401",310274,"GA301"
"16714024601",197519,"DE752"
"16714024901",106303,"DE752"
"16714024902",106303,"DE752"
"16714025001",198300,"DE752"
"16714025002",198300,"DE752"
"16714025701",856783,"CN601"
"16714025702",856783,"CN601"
"16714025801",856834,"CN601"
"16714025802",856834,"CN601"
"16714025902",856845,"CN601"
"16714026701",1085633,"DE200"
"16714026703",1085633,"DE200"
"16714029302",617430,"AM111"
"16714029303",617430,"AM111"
"16714029401",617993,"AM111"
"16714029402",617993,"AM111"
"16714029403",617993,"AM111"
"16714029903",308191,"GA303"
"16714029903",308191,"AM111"
"16714029904",308191,"GA303"
"16714029904",308191,"AM111"
"16714031001",387003,"CN400"
"16714033001",310433,"CN400"
"16714033001",310433,"CN900"
"16714033002",310433,"CN400"
"16714033002",310433,"CN900"
"16714033201",310434,"CN400"
"16714033201",310434,"CN900"
"16714034004",1095227,"HS200"
"16714034804",1300538,"HS200"
"16714034804",1300538,"HS900"
"16714035502",311289,"CN400"
"16714035904",1304988,"HS200"
"16714036001",1365899,"HS200"
"16714036004",1365899,"HS200"
"16714036304",1311535,"HS200"
"16714036504",1305089,"HS200"
"16714036603",1661092,"HS200"
"16714038801",309049,"AM115"
"16714038802",309049,"AM115"
"16714039101",200346,"AM117"
"16714039102",200346,"AM117"
"16714039202",309054,"AM117"
"16714039301",476576,"AM117"
"16714039401",309076,"AM117"
"16714040101",309098,"AM116"
"16714040102",309098,"AM116"
"16714040404",1438778,"HS200"
"16714040504",1440937,"HS900"
"16714040504",1440937,"HS200"
"16714040504",1440937,"TN410"
"16714040604",1440183,"HS900"
"16714040604",1440183,"HS200"
"16714040604",1440183,"TN410"
"16714040703",1537209,"HS900"
"16714040703",1537209,"HS200"
"16714040803",1487086,"HS900"
"16714040803",1487086,"HS200"
"16714041603",1605091,"HS900"
"16714041603",1605091,"HS200"
"16714041603",1605091,"TN410"
"16714043901",1648755,"AM600"
"16714044104",1539955,"HS800"
"16714044201",858804,"CV800"
"16714044501",858810,"CV800"
"16714044502",858810,"CV800"
"16714044601",856783,"CN601"
"16714044602",856783,"CN601"
"16714045201",312744,"CN709"
"16714045302",616487,"CN709"
"16714045501",317174,"CN709"
"16714046701",200327,"AN300"
"16714047601",562251,"AM111"
"16714047802",562508,"AM111"
"16714048501",1099569,"CN400"
"16714052601",1797833,"NT900"
"16714052701",1797844,"NT900"
"16714053401",476556,"AM800"
"16714054901",809987,"CN400"
"16714056301",899439,"CN802"
"16714056501",899485,"CN802"
"16714057601",197319,"MS400"
"16714057602",197319,"MS400"
"16714057604",197319,"MS400"
"16714057701",197320,"MS400"
"16714057702",197320,"MS400"
"16714061104",312940,"CN609"
"16714061105",312940,"CN609"
"16714061201",312941,"CN609"
"16714061205",312941,"CN609"
"16714061206",312941,"CN609"
"16714061305",312938,"CN609"
"16714061306",312938,"CN609"
"16714062101",854876,"CN309"
"16714062102",854876,"CN309"
"16714062201",854873,"CN309"
"16714062202",854873,"CN309"
"16714062301",900164,"CN400"
"16714062601",900156,"CN400"
"16714062701",1098608,"CN400"
"16714062801",403908,"OT250"
"16714063201",904396,"HS900"
"16714063301",904431,"HS900"
"16714063401",198051,"GA303"
"16714063401",198051,"GA900"
"16714063403",198051,"GA303"
"16714063403",198051,"GA900"
"16714064301",403818,"OP210"
"16714064501",317573,"HS502"
"16714064502",317573,"HS502"
"16714064602",312440,"HS502"
"16714066102",310430,"CN400"
"16714066202",310431,"CN400"
"16714067102",312085,"GA605"
"16714068101",312962,"CV350"
"16714068102",312962,"CV350"
"16714068201",314231,"CV350"
"16714068202",314231,"CV350"
"16714068203",314231,"CV350"
"16714068302",312961,"CV350"
"16714068303",312961,"CV350"
"16714068403",198211,"CV350"
"16714068502",200345,"CV350"
"16714069211",197699,"AM700"
"16714069301",197700,"AM700"
"16714069601",310353,"AM700"
"16714069703",313564,"AM800"
"16714069803",313565,"AM800"
"16714070001",282401,"CN400"
"16714070101",198427,"CN400"
"16714071302",863669,"CV150"
"16714071502",198051,"GA303"
"16714071502",198051,"GA900"
"16714071503",198051,"GA303"
"16714071503",198051,"GA900"
"16714072002",310384,"CN609"
"16714072003",310384,"CN609"
"16714072102",310385,"CN609"
"16714072103",310385,"CN609"
"16714072202",313989,"CN609"
"16714072203",313989,"CN609"
"16714072204",313989,"CN609"
"16714072901",349351,"DE200"
"16714072902",349351,"DE200"
"16714073201",205322,"MS102"
"16714073301",205323,"MS102"
"16714073302",205323,"MS102"
"16714075601",349592,"CN900"
"16714075701",349593,"CN900"
"16714075801",349594,"CN900"
"16714076101",608139,"CN900"
"16714076901",646456,"DE102"
"16714076902",646456,"DE102"
"16714076903",646456,"DE102"
"16714078203",861448,"DE200"
"16714078204",861448,"DE200"
"16714078301",602964,"CN709"
"16714079502",313222,"AM700"
"16714079701",313161,"CN105"
"16714079801",313160,"CN105"
"16714080701",577961,"CN801"
"16714080801",541363,"CN801"
"16714081302",349556,"CV350"
"16714081303",349556,"CV350"
"16714082101",1091497,"CN802"
"16714082201",1091150,"CN802"
"16714082802",204135,"DE200"
"16714082901",1244214,"HS051"
"16714083001",686429,"GA900"
"16714083701",313777,"CN709"
"16714085201",866427,"CV100"
"16714085202",866427,"CV100"
"16714085203",866427,"CV100"
"16714085301",866436,"CV100"
"16714085302",866436,"CV100"
"16714085303",866436,"CV100"
"16714085401",866412,"CV100"
"16714085402",866412,"CV100"
"16714085501",866419,"CV100"
"16714087002",1020065,"HS900"
"16714087603",617311,"CV350"
"16714088401",833008,"HS702"
"16714090301",808751,"CN609"
"16714094801",541878,"CN801"
"16714094901",1009145,"CN801"
"16714095001",541892,"CN801"
"16714095201",577957,"CN801"
"16714095301",577961,"CN801"
"16714095502",203088,"DE102"
"16714095601",607295,"DE752"
"16714098001",606730,"GA900"
"16714098002",606730,"GA900"
"16714098450",358917,"DE752"
"16714098501",1085644,"DE200"
"16714098502",1085644,"DE200"
"16714098601",1014314,"DE200"
"16714098603",1014314,"DE200"
"16714098604",1014314,"DE200"
"16714098701",1085686,"DE200"
"16714098801",859424,"CV350"
"16714098901",859747,"CV350"
"16714099001",859751,"CV350"
"16714099101",859419,"CV350"
"16714099602",238920,"DE200"
"16729-0225-01",313096,"CV704"
"16729000201",199246,"HS502"
"16729000301",199247,"HS502"
"16729000316",199247,"HS502"
"16729000415",314231,"CV350"
"16729000417",314231,"CV350"
"16729000517",312961,"CV350"
"16729000615",198211,"CV350"
"16729000617",198211,"CV350"
"16729000717",200345,"CV350"
"16729001017",904475,"CV350"
"16729001901",200060,"IM600"
"16729002301",199123,"AN900"
"16729002310",199123,"AN900"
"16729003410",200064,"AN900"
"16729003415",200064,"AN900"
"16729003510",199224,"AN900"
"16729003515",199224,"AN900"
"16729003516",199224,"AN900"
"16729004417",617312,"CV350"
"16729004517",617310,"CV350"
"16729004617",617311,"CV350"
"16729004854",313211,"AN100"
"16729005054",317160,"AN100"
"16729007212",200327,"AN300"
"16729007329",200328,"AN300"
"16729008101",1483744,"CN102"
"16729008110",1483744,"CN102"
"16729009015",310346,"HS900"
"16729009016",310346,"HS900"
"16729009512",721791,"CN709"
"16729009612",721794,"CN709"
"16729010912",895670,"CN709"
"16729011917",200224,"RE109"
"16729013212",853201,"CN709"
"16729013501",197320,"MS400"
"16729013516",197320,"MS400"
"16729013600",197527,"CN302"
"16729013616",197527,"CN302"
"16729013700",197528,"CN302"
"16729013716",197528,"CN302"
"16729013800",197529,"CN302"
"16729013816",197529,"CN302"
"16729014501",312744,"CN709"
"16729014517",312744,"CN709"
"16729014601",616487,"CN709"
"16729014701",312743,"CN709"
"16729014817",317174,"CN709"
"16729015615",312962,"CV350"
"16729016801",351249,"CN609"
"16729016817",351249,"CN609"
"16729016901",349332,"CN609"
"16729016917",349332,"CN609"
"16729017001",351250,"CN609"
"16729017017",351250,"CN609"
"16729017101",856783,"CN601"
"16729017117",856783,"CN601"
"16729017201",856834,"CN601"
"16729017217",856834,"CN601"
"16729017301",856845,"CN601"
"16729017317",856845,"CN601"
"16729017501",856762,"CN601"
"16729018201",429503,"CV701"
"16729018217",429503,"CV701"
"16729018301",310798,"CV701"
"16729018317",310798,"CV701"
"16729018401",197770,"CV701"
"16729018417",197770,"CV701"
"16729018929",485023,"IM600"
"16729020016",866094,"CN309"
"16729020101",866111,"CN309"
"16729020201",866083,"CN309"
"16729020301",866018,"CN309"
"16729021301",197627,"CV150"
"16729021516",312940,"CN609"
"16729021615",312941,"CN609"
"16729021616",312941,"CN609"
"16729021716",312938,"CN609"
"16729022501",313096,"CV704"
"16729022516",313096,"CV704"
"16729022517",313096,"CV704"
"16729022601",198223,"CV704"
"16729022616",198223,"CV704"
"16729022701",198222,"CV704"
"16729022716",198222,"CV704"
"16729027310",855812,"BL117"
"16729027730",1655960,"AN300"
"16729027810",602964,"CN709"
"16729028417",859424,"CV350"
"16729028517",859747,"CV350"
"16729028617",859751,"CV350"
"16729029901",856377,"CN609"
"16729029917",856377,"CN609"
"16729030017",856373,"CN609"
"16729030116",856364,"CN609"
"16729030501",830837,"CV200"
"16729031701",863636,"GU201"
"16729031801",863619,"GU201"
"16729032010",349373,"CV805"
"16729032015",349373,"CV805"
"16729032110",349401,"CV805"
"16729032115",349401,"CV805"
"16729032210",349405,"CV805"
"16729032215",349405,"CV805"
"16729032217",349405,"CV805"
"16729033101",562524,"CV703"
"16729034910",1040041,"CN709"
"16729035210",1086772,"CN609"
"16729035310",1086778,"CN609"
"16729035410",1086784,"CN609"
"16729036615",403853,"CV400"
"16729036815",403855,"CV400"
"16729042101",313189,"DE820"
"16729042110",313189,"DE820"
"16729042201",314266,"DE820"
"16729042210",314266,"DE820"
"16729043310",349556,"CV350"
"16729043316",349556,"CV350"
"16729044310",993541,"CN609"
"16729044315",993541,"CN609"
"16729044316",993541,"CN609"
"16729044410",993557,"CN609"
"16729044416",993557,"CN609"
"16729044715",966220,"HS851"
"16729044717",966220,"HS851"
"16729044815",966221,"HS851"
"16729044817",966221,"HS851"
"16729044915",966222,"HS851"
"16729044917",966222,"HS851"
"16729045015",966253,"HS851"
"16729045017",966253,"HS851"
"16729045115",892246,"HS851"
"16729045117",892246,"HS851"
"16729045215",966248,"HS851"
"16729045217",966248,"HS851"
"16729045315",966224,"HS851"
"16729045317",966224,"HS851"
"16729045415",966270,"HS851"
"16729045417",966270,"HS851"
"16729045515",966225,"HS851"
"16729045517",966225,"HS851"
"16729045615",966249,"HS851"
"16729045617",966249,"HS851"
"16729045715",892251,"HS851"
"16729045717",892251,"HS851"
"16729047801",1091497,"CN802"
"16729047901",1091150,"CN802"
"16729048001",1091392,"CN802"
"16729048501",979092,"AP101"
"16729048516",979092,"AP101"
"16729048601",105585,"AN300"
"16729053308",2598453,"VT101"
