"ndc","rxcui","va"
"00069237710",2664841,"IM100"
"00069239210",2664841,"IM100"
"00069306075",750149,"AM200"
"00069532130",2587899,"AM800"
"00074003828",2049858,"HS900"
"00074012402",1921240,"MS190"
"00074012403",1921245,"MS190"
"00074024302",1726846,"MS190"
"00074055402",1872980,"MS190"
"00074057622",1747567,"AN900"
"00074105001",2540699,"MS190"
"00074107001",2604628,"MS190"
"00074153903",1921468,"MS190"
"00074210001",2540695,"MS190"
"00074230630",2196900,"MS190"
"00074231030",2590054,"MS190"
"00074364103",1115459,"AN500"
"00074372790",966271,"HS851"
"00074433902",1655728,"MS190"
"00074433907",1801278,"MS190"
"00074434190",966158,"HS851"
"00074455290",966247,"HS851"
"00074518219",966171,"HS851"
"00074518290",966171,"HS851"
"00074659490",966282,"HS851"
"00074662490",966250,"HS851"
"00074706890",966191,"HS851"
"00074706919",966201,"HS851"
"00074706990",966201,"HS851"
"00074707090",966205,"HS851"
"00074709430",2571850,"CN105"
"00074709630",2571846,"CN105"
"00074709804",2584557,"OP102"
"00074714890",966251,"HS851"
"00074929690",966185,"HS851"
"00078051105",866305,"CN400"
"00078062051",1119402,"AN900"
"00078063941",1653243,"IM600"
"00078065920",1656346,"CV400"
"00078066815",1425118,"AN900"
"00078068166",1425230,"AN900"
"00078068715",884619,"BL116"
"00078069620",1656356,"CV400"
"00078077720",1656351,"CV400"
"00078084101",213307,"OP210"
"00078085526",213320,"OT250"
"00078091112",1801840,"OP300"
"00078111215",1425118,"AN900"
"00088221905",847232,"HS501"
"00088222033",285018,"HS501"
"00088250033",803194,"HS501"
"00093-1010-42",106346,"DE101"
"00093-2204-01",311668,"AU300"
"00093-2240-01",197454,"AM115"
"00093-2263-01",308192,"AM111"
"00093-3147-01",309114,"AM115"
"00093-3147-05",309114,"AM115"
"00093-3422-01",828348,"MS200"
"00093-3425-10",197900,"CN302"
"00093-3426-01",197901,"CN302"
"00093-3609-82",1918203,"RE109"
"00093-5056-98",617312,"CV350"
"00093005105",686924,"CV100"
"00093005301",866094,"CN309"
"00093005305",866094,"CN309"
"00093005401",866083,"CN309"
"00093005405",866083,"CN309"
